rank,skill,skill_key,platform,vendor,source_skillssh,slug_clawhub,url,repo_url,install,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score,coverage
76,paperless-business-system-from-files,sh:paperless-business-system-from-files,skillhub-cn,,,,,,,single,将 Excel、CSV、Word、PDF、JSON、TXT、ZIP、电子表单或已有 Python/Web 源码转换、升级或持续修改为可填写、查询、导入导出并可本地/局域网部署的中文业务系统。用于“根据附件生成系统”“把Excel做成系统”“升级或继续修改已有系统”“生成完整部署ZIP”“生成服务端及Windows/macOS填写客户端”等任务。保留3.0的Spec-first变更、影响分析、候选副,读取用户提示词和上传的业务附件，自动识别业务类型、字段、公式、流程、权限和报表规则，生成对应的完整本地部署 Python Web 系统。支持能源、点工、生产、质量、设备、库存、审批及组合业务，并交付完整源码、SQLite 数据库、导入导出、权限审计、备份恢复和 Windows EXE 打包代码。 生产日报与班报系统 质量问题与整改闭环系统 设备点检、保养与维修系统 库存管理与采购预警系统 考勤与交,,,209096,0.972,C
77,lark-markdown,ss:open.feishu.cn/lark-markdown,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-markdown,,,single,,,681526,,,0.972,C
78,domain-modeling,ss:mattpocock/skills/domain-modeling,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/domain-modeling,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill domain-modeling,single,,,676220,,,0.971,C
79,lark-vc-agent,ss:open.feishu.cn/lark-vc-agent,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-vc-agent,,,single,,,659446,,,0.971,C
80,codebase-design,ss:mattpocock/skills/codebase-design,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/codebase-design,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill codebase-design,single,,,655036,,,0.97,C
81,excel-xlsx,ch:excel-xlsx,clawhub,,,excel-xlsx,https://clawhub.ai/ivangdavila/skills/excel-xlsx,,openclaw skills install @ivangdavila/excel-xlsx,upstream,"Create, inspect, and edit Microsoft Excel workbooks and XLSX files with reliable formulas, dates, types, formatting, recalculation, and template preservation...",创建、检查和编辑 Microsoft Excel 工作簿及 XLSX 文件，支持可靠的公式、日期、类型、格式、重算及模板保留功能。,,80933,191314,0.97,B
82,web-design-guidelines,ss:vercel-labs/agent-skills/web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,https://www.skills.sh/vercel-labs/agent-skills/web-design-guidelines,https://github.com/vercel-labs/agent-skills,npx skills add https://github.com/vercel-labs/agent-skills --skill web-design-guidelines,single,,,654988,,,0.969,C
83,diagnosing-bugs,ss:mattpocock/skills/diagnosing-bugs,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/diagnosing-bugs,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill diagnosing-bugs,single,,,642443,,,0.968,C
84,hyperframes-cli,ss:heygen-com/hyperframes/hyperframes-cli,skills.sh,heygen-com,heygen-com/hyperframes,,https://www.skills.sh/heygen-com/hyperframes/hyperframes-cli,https://github.com/heygen-com/hyperframes,npx skills add https://github.com/heygen-com/hyperframes --skill hyperframes-cli,single,,,634275,,,0.968,C
85,tencent-meeting-mcp,sh:tencent-meeting-mcp,skillhub-cn,腾讯科技（深圳）有限公司,,,,,,single,腾讯会议：会议管理与音视频协作助手。预约/创建/修改/取消会议、查询会议详情与会议号转换、查看参会成员/受邀人/等候室成员、管理会中等候室成员、查询用户会议列表（即将开始/进行中/已结束）、搜索会议列表、导出参会成员统计与获取异步任务结果、查询录制列表与播放地址、搜索录制文件、获取转写全文/段落/搜索、获取AI智能纪要（支持多语言翻译）、搜索与查询元宝纪要（支持关键词/时间过滤、获取概览/要点/待,腾讯会议：会议管理与音视频协作助手。预约/创建/修改/取消会议、查询会议详情与会议号转换、查看参会成员/受邀人/等候室成员、管理会中等候室成员、查询用户会议列表（即将开始/进行中/已结束）、搜索会议列表、导出参会成员统计与获取异步任务结果、查询录制列表与播放地址、搜索录制文件、获取转写全文/段落/搜索、获取AI智能纪要（支持多语言翻译）、搜索与查询元宝纪要（支持关键词/时间过滤、获取概览/要点/待,,,191139,0.967,C
86,lark-apps,ss:open.feishu.cn/lark-apps,skills.sh,open.feishu.cn,open.feishu.cn,,https://www.skills.sh/open.feishu.cn/lark-apps,,,single,,,626071,,,0.967,C
87,auto-updater,ch:auto-updater,clawhub,,,auto-updater,https://clawhub.ai/maximeprades/skills/auto-updater,,openclaw skills install @maximeprades/auto-updater,upstream,"Automatically update Clawdbot and all installed skills once daily. Runs via cron, checks for updates, applies them, and messages the user with a summary of what changed.",每日自动更新 Clawdbot 及所有已安装技能。运行 cron 检查更新并应用，同时向用户发送变更摘要。,,99702,127633,0.967,B
88,openclaw-tavily-search,ch:openclaw-tavily-search,clawhub,,,openclaw-tavily-search,https://clawhub.ai/jacky1n7/skills/openclaw-tavily-search,,openclaw skills install @jacky1n7/openclaw-tavily-search,upstream,"Search the public web through Tavily and return structured results with URLs and snippets. Use when an agent needs current information, source discovery, link lookup, news or finance search, or a fall",通过 Tavily API 进行网页搜索（Brave 替代方案）。当用户要求搜索网页、查找来源或链接，且 Brave 网页搜索不可用时使用。,,106519,116639,0.967,B
89,baidu-search,ch:baidu-search,clawhub,,,baidu-search,https://clawhub.ai/ide-rea/skills/baidu-search,,openclaw skills install @ide-rea/baidu-search,upstream,"Search the web using Baidu AI Search Engine (BDSE). Use for live information, documentation, or research topics.",使用百度AI搜索引擎(BDSE)进行网络搜索。适用于获取实时信息、文档资料或研究课题。,,92773,128475,0.966,B
90,hyperframes,ss:heygen-com/hyperframes/hyperframes,skills.sh,heygen-com,heygen-com/hyperframes,,https://www.skills.sh/heygen-com/hyperframes/hyperframes,https://github.com/heygen-com/hyperframes,npx skills add https://github.com/heygen-com/hyperframes --skill hyperframes,single,,,605515,,,0.966,C
91,talking-avatar-video,sh:talking-avatar-video,skillhub-cn,乐萱同行科技（深圳）有限公司,,,,,,single,用一张人像和一段短脚本或语音，制作有明确讲述内容的数字人口播视频。可使用现成录音，也可以先选择音色，把脚本生成旁白，让画面中的人物随声音完成稳定、自然的口播。适合 AI 主播、虚拟主播视频、数字人讲解、让照片说话、照片说话视频、产品讲解视频、数字人培训视频、公告和社交口播，并在交付后检查人物一致性、声音清晰度、口型同步和动作稳定性。,用一张人像和一段短脚本或语音，制作有明确讲述内容的数字人口播视频。可使用现成录音，也可以先选择音色，把脚本生成旁白，让画面中的人物随声音完成稳定、自然的口播。适合 AI 主播、虚拟主播视频、数字人讲解、让照片说话、照片说话视频、产品讲解视频、数字人培训视频、公告和社交口播，并在交付后检查人物一致性、声音清晰度、口型同步和动作稳定性。,,,178858,0.966,C
92,video-edit,ss:genmedia-labs/skills/video-edit,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/video-edit,https://github.com/genmedia-labs/skills,npx skills add https://github.com/genmedia-labs/skills --skill video-edit,single,,,603276,,,0.965,C
93,libai,sh:libai,skillhub-cn,,,,,,,single,李白.Skill:润色专家 检测并消除中文文本中的AI生成痕迹，将生硬的机器输出转化为自然流畅的人类文笔。融合规则检测、分层改写和质控流水线，确保最终文本通过人工审查。,李白.Skill:润色专家 检测并消除中文文本中的AI生成痕迹，将生硬的机器输出转化为自然流畅的人类文笔。融合规则检测、分层改写（词汇→句式→内容→逻辑→语气）和六步质控流水线，确保最终文本通过人工审查。,,,178046,0.965,C
94,microsoft-foundry,ss:microsoft/azure-skills/microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,https://www.skills.sh/microsoft/azure-skills/microsoft-foundry,https://github.com/microsoft/azure-skills,npx skills add https://github.com/microsoft/azure-skills --skill microsoft-foundry,single,,,602469,,,0.965,C
95,lingyi-wx-video-decomposer-plus,sh:lingyi-wx-video-decomposer-plus,skillhub-cn,零一裂变（深圳）科技有限公司,,,,,,single,【零一数科·出品】视频号爆款短视频拆解（付费版：全能）。一键拆解爆款，把一条视频号视频拆成结构分段、爆款归因、六维评分和可借鉴策略，照着学照着抄。支持视频号分享链接和本地视频，付费全能版远端分析，1–5 分钟出 Markdown 报告。,【零一数科·出品】视频号爆款短视频拆解（付费版：全能）。一键拆解爆款，把一条视频号视频拆成结构分段、爆款归因、六维评分和可借鉴策略，照着学照着抄。支持视频号分享链接和本地视频，付费全能版远端分析，1–5 分钟出 Markdown 报告。,,,173557,0.964,C
96,ai-music,ss:genmedia-labs/skills/ai-music,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/ai-music,https://github.com/genmedia-labs/skills,npx skills add https://github.com/genmedia-labs/skills --skill ai-music,single,,,602453,,,0.964,C
97,notion,ch:notion,clawhub,steipete,,notion,https://clawhub.ai/steipete/skills/notion,,openclaw skills install @steipete/notion,upstream,"Notion API for creating and managing pages, databases, and blocks.",用于创建和管理页面、数据库及块的 Notion API。,,103167,108345,0.964,B
98,desktop-control,ch:desktop-control,clawhub,,,desktop-control,,,,single,"Advanced desktop automation with mouse, keyboard, and screen control",,,61888,,0.963,C
99,ai-video-generation,ss:genmedia-labs/skills/ai-video-generation,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/ai-video-generation,https://github.com/genmedia-labs/skills,npx skills add https://github.com/genmedia-labs/skills --skill ai-video-generation,single,,,602212,,,0.963,C
100,image-to-video,ss:genmedia-labs/skills/image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/image-to-video,https://github.com/genmedia-labs/skills,npx skills add https://github.com/genmedia-labs/skills --skill image-to-video,single,,,602021,,,0.962,C
