rank,skill,skill_key,platform,vendor,source_skillssh,slug_clawhub,url,repo_url,install,match,description,description_zh,first_seen_days,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score,category,flags
40,twitter-automation,ss:qu-skills/superpowers/twitter-automation,skills.sh,qu-skills,qu-skills/superpowers,,https://www.skills.sh/qu-skills/superpowers/twitter-automation,https://github.com/qu-skills/superpowers,npx skills add https://github.com/qu-skills/superpowers --skill twitter-automation,single,,,22,197151,,,0.797,content-creation,
41,ai-video-generation,ss:qu-skills/superpowers/ai-video-generation,skills.sh,qu-skills,qu-skills/superpowers,,https://www.skills.sh/qu-skills/superpowers/ai-video-generation,https://github.com/qu-skills/superpowers,npx skills add https://github.com/qu-skills/superpowers --skill ai-video-generation,single,,,22,196984,,,0.796,design-media,
42,ai-image-generation,ss:qu-skills/superpowers/ai-image-generation,skills.sh,qu-skills,qu-skills/superpowers,,https://www.skills.sh/qu-skills/superpowers/ai-image-generation,https://github.com/qu-skills/superpowers,npx skills add https://github.com/qu-skills/superpowers --skill ai-image-generation,single,,,22,196960,,,0.796,design-media,
43,wind-mcp-skill,ss:wind-alice/alicemarket/wind-mcp-skill,skills.sh,wind-alice,wind-alice/alicemarket,,https://www.skills.sh/wind-alice/alicemarket/wind-mcp-skill,https://github.com/wind-alice/alicemarket,npx skills add https://github.com/wind-alice/alicemarket --skill wind-mcp-skill,single,,,15,174158,,,0.791,ai-agent,
44,shanghai-ocean-university-hengsha-cycling-planner,sh:shanghai-ocean-university-hengsha-cycling-planner,skillhub-cn,,,,,,,single,面向上海崇明横沙岛慢行旅行的一站式骑行规划助手。基于团队规模、活动时长、出行日期与出行场景（校内外实践、写生采风、团建等），生成含「上海客轮长横航线及吴淞航线售票」小程序直链、「生态横沙」公众号交通查询入口、携程/美团/飞猪三平台民宿可执行搜索链接、高德/百度/Apple Maps 导航直链、电动公交接驳、骑行路线串联、特色点位（海岛艺术田园、越野卡丁车、横沙渔港等）的个性化行程方案；附半日/一日,上海还有座岛：没有网约车、没有红绿灯，只有30公里江堤等你骑完。横沙岛骑行规划Skill，输入需求直接出方案——上海海洋大学校友写给所有想上岛的人。,15,,,38649,0.789,life-service,
45,fengyupentest,sh:fengyupentest,skillhub-cn,上海逢俞网络科技有限公司,,,,,,single,# 「砺刃」 授权场景下，将红队实战能力转化为可直接提交的SRC有效战果。 面向**授权渗透测试、补天、厂商SRC及众测平台**打造的一体化挖洞工具链。 融合 pentest‑lyan 工程化渗透方法论与 src‑vuln‑hunting 实战提交规范；支持模型自主威胁建模，本地持久化任务状态，全流程支持断点续测。 ## 核心能力 - 12维系统化威胁建模：覆盖数据流、权限边界、资源归属、状态,# 「砺刃」 授权场景下，将红队实战能力转化为可直接提交的SRC有效战果。 面向**授权渗透测试、补天、厂商SRC及众测平台**打造的一体化挖洞工具链。 融合 pentest‑lyan 工程化渗透方法论与 src‑vuln‑hunting 实战提交规范；支持模型自主威胁建模，本地持久化任务状态，全流程支持断点续测。 ## 核心能力 - 12维系统化威胁建模：覆盖数据流、权限边界、资源归属、状态,19,,,38479,0.788,it-ops-security,
46,lskj-official-ztbdata,sh:lskj-official-ztbdata,skillhub-cn,武汉览山科技有限公司,,,,,,single,全国招投标数据商机查询助手。用户涉及招标、中标、采购意向、合同、项目详情、附件、拟在建项目、企业画像、联系人、客户供应商关系、自然语言查标、行业推理、标讯分类、文本结构化、项目甄别、销售获客、竞品监测或行业分析时使用本 Skill；即使用户未提到世舶科技，只要需求属于上述招投标数据场景，也使用本 Skill 选择正确接口并按需加载对应场景模块。需配置世舶科技 API Key 使用，面向全国招标中标,全国招投标数据商机查询助手。用户涉及招标、中标、采购意向、合同、项目详情、附件、拟在建项目、企业画像、联系人、客户供应商关系、自然语言查标、行业推理、标讯分类、文本结构化、项目甄别、销售获客、竞品监测或行业分析时使用本 Skill；即使用户未提到世舶科技，只要需求属于上述招投标数据场景，也使用本 Skill 选择正确接口并按需加载对应场景模块。需配置世舶科技 API Key 使用，面向全国招标中标,29,,,37433,0.775,business-ops,
47,lskj-official-subscribe,sh:lskj-official-subscribe,skillhub-cn,武汉览山科技有限公司,,,,,,single,全国招投标标讯搜索与订阅提醒，通过搜索、筛选、去重并整理招标、中标、采购意向、合同等标讯，生成可重复执行的订阅条件和增量清单。用于用户提出查标讯、订阅标讯、每日商机、项目提醒、招标公告跟踪、按关键词或地区持续监测等需求。需配置世舶科技 API Key 使用，面向全国招标中标查询、项目订阅、接口调用、数据检索和结果整理，覆盖招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同,全国招投标标讯搜索与订阅提醒，通过搜索、筛选、去重并整理招标、中标、采购意向、合同等标讯，生成可重复执行的订阅条件和增量清单。用于用户提出查标讯、订阅标讯、每日商机、项目提醒、招标公告跟踪、按关键词或地区持续监测等需求。需配置世舶科技 API Key 使用，面向全国招标中标查询、项目订阅、接口调用、数据检索和结果整理，覆盖招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同,29,,,36415,0.77,knowledge-management,
48,software-architecture-diagram-generator-showapi,sh:software-architecture-diagram-generator-showapi,skillhub-cn,昆明秀派科技有限公司,,,,,,single,通过输入软件说明书或文本，自动深度解析架构意图，结构化抽取组件与层级，生成Mermaid架构代码，进行专业评审与补全，融合输出完整架构设计文档，并渲染高清架构图。适用于软件工程文档编写、架构评审、技术方案输出等场景。,通过输入软件说明书或文本，自动深度解析架构意图，结构化抽取组件与层级，生成Mermaid架构代码，进行专业评审与补全，融合输出完整架构设计文档，并渲染高清架构图。适用于软件工程文档编写、架构评审、技术方案输出等场景。,22,,,33731,0.756,dev-programming,
49,ai-image-generation,ss:magentosh/superpowers/ai-image-generation,skills.sh,magentosh,magentosh/superpowers,,https://www.skills.sh/magentosh/superpowers/ai-image-generation,https://github.com/magentosh/superpowers,npx skills add https://github.com/magentosh/superpowers --skill ai-image-generation,single,,,27,107462,,,0.755,design-media,
50,ai-video-generation,ss:magentosh/superpowers/ai-video-generation,skills.sh,magentosh,magentosh/superpowers,,https://www.skills.sh/magentosh/superpowers/ai-video-generation,https://github.com/magentosh/superpowers,npx skills add https://github.com/magentosh/superpowers --skill ai-video-generation,single,,,27,107372,,,0.754,design-media,
51,ai-avatar-video,ss:magentosh/superpowers/ai-avatar-video,skills.sh,magentosh,magentosh/superpowers,,https://www.skills.sh/magentosh/superpowers/ai-avatar-video,https://github.com/magentosh/superpowers,npx skills add https://github.com/magentosh/superpowers --skill ai-avatar-video,single,,,27,107343,,,0.753,design-media,
52,twitter-automation,ss:magentosh/superpowers/twitter-automation,skills.sh,magentosh,magentosh/superpowers,,https://www.skills.sh/magentosh/superpowers/twitter-automation,https://github.com/magentosh/superpowers,npx skills add https://github.com/magentosh/superpowers --skill twitter-automation,single,,,27,107234,,,0.752,content-creation,
53,ai-video-generation,ss:skills-shell/superpowers/ai-video-generation,skills.sh,skills-shell,skills-shell/superpowers,,https://www.skills.sh/skills-shell/superpowers/ai-video-generation,https://github.com/skills-shell/superpowers,npx skills add https://github.com/skills-shell/superpowers --skill ai-video-generation,single,,,22,101208,,,0.745,design-media,
54,twitter-automation,ss:skills-shell/superpowers/twitter-automation,skills.sh,skills-shell,skills-shell/superpowers,,https://www.skills.sh/skills-shell/superpowers/twitter-automation,https://github.com/skills-shell/superpowers,npx skills add https://github.com/skills-shell/superpowers --skill twitter-automation,single,,,22,101191,,,0.744,content-creation,
55,ai-image-generation,ss:skills-shell/superpowers/ai-image-generation,skills.sh,skills-shell,skills-shell/superpowers,,https://www.skills.sh/skills-shell/superpowers/ai-image-generation,https://github.com/skills-shell/superpowers,npx skills add https://github.com/skills-shell/superpowers --skill ai-image-generation,single,,,22,101143,,,0.744,design-media,
56,gongwenxiezuo,sh:gongwenxiezuo,skillhub-cn,北京达维时代科技有限公司,,,,,,single,面向机关、企事业单位、学校与新闻机构的中文公文与正式材料写作助手。用于通知、请示、报告、函、复函、批复、会议纪要、通报、通告、公告、意见、方案、总结、管理办法、汇报材料、发言稿、讲话稿、调研报告、经验材料、申请、说明、公示、采购公告、新闻消息、新闻评论等文种的起草、改写、润色、扩写、压缩、结构调整、语气统一与内容审查；支持按 GB/T 9704-2012 生成普通 Word 与红头文件。无外部接口,面向机关、企事业单位、学校与新闻机构的中文公文与正式材料写作助手。用于通知、请示、报告、函、复函、批复、会议纪要、通报、通告、公告、意见、方案、总结、管理办法、汇报材料、发言稿、讲话稿、调研报告、经验材料、申请、说明、公示、采购公告、新闻消息、新闻评论等文种的起草、改写、润色、扩写、压缩、结构调整、语气统一与内容审查；支持按 GB/T 9704-2012 生成普通 Word 与红头文件。无外部接口,23,,,32533,0.743,office-efficiency,
57,ai-avatar-video,ss:skills-shell/superpowers/ai-avatar-video,skills.sh,skills-shell,skills-shell/superpowers,,https://www.skills.sh/skills-shell/superpowers/ai-avatar-video,https://github.com/skills-shell/superpowers,npx skills add https://github.com/skills-shell/superpowers --skill ai-avatar-video,single,,,22,100907,,,0.743,design-media,
58,omni-viral-video-deconstruction,sh:omni-viral-video-deconstruction,skillhub-cn,深圳市聚星瀚贸易有限公司,,,,,,single,【全能自媒体】视频号爆款短视频拆解。视频号爆款短视频拆解（需本地上传视频）。看图拆爆款，把本地视频按视频号带货/流量逻辑拆成结构分段、脚本类型、爆款归因和六维评分报告。素材全程本地提取，不传视频不传帧；写作说明书由服务端分 3 包下发。每次开单扣 5 点，需用户 API Key。仅支持本地视频上传，暂不支持视频号链接。,【全能自媒体】视频号爆款短视频拆解。视频号爆款短视频拆解（需本地上传视频）。看图拆爆款，把本地视频按视频号带货/流量逻辑拆成结构分段、脚本类型、爆款归因和六维评分报告。素材全程本地提取，不传视频不传帧；写作说明书由服务端分 3 包下发。每次开单扣 5 点，需用户 API Key。仅支持本地视频上传，暂不支持视频号链接。,21,,,32231,0.74,content-creation,
59,tshirt-design-showapi,sh:tshirt-design-showapi,skillhub-cn,昆明秀派科技有限公司,,,,,,single,根据班级名、主题关键词和风格，自动生成T恤正背面差异化图案设计及三人实穿效果图；适用于班服定制、团队文化衫设计、毕业季班服制作、社团周边定制场景,根据班级名、主题关键词和风格，自动生成T恤正背面差异化图案设计及三人实穿效果图；适用于班服定制、团队文化衫设计、毕业季班服制作、社团周边定制场景,13,,,32202,0.738,design-media,
60,ai-image-generation,ss:its-a-skill-issue/superpowers/ai-image-generation,skills.sh,its-a-skill-issue,its-a-skill-issue/superpowers,,https://www.skills.sh/its-a-skill-issue/superpowers/ai-image-generation,https://github.com/its-a-skill-issue/superpowers,npx skills add https://github.com/its-a-skill-issue/superpowers --skill ai-image-generation,single,,,17,95624,,,0.736,design-media,
61,twitter-automation,ss:its-a-skill-issue/superpowers/twitter-automation,skills.sh,its-a-skill-issue,its-a-skill-issue/superpowers,,https://www.skills.sh/its-a-skill-issue/superpowers/twitter-automation,https://github.com/its-a-skill-issue/superpowers,npx skills add https://github.com/its-a-skill-issue/superpowers --skill twitter-automation,single,,,17,95533,,,0.735,content-creation,
62,ai-avatar-video,ss:its-a-skill-issue/superpowers/ai-avatar-video,skills.sh,its-a-skill-issue,its-a-skill-issue/superpowers,,https://www.skills.sh/its-a-skill-issue/superpowers/ai-avatar-video,https://github.com/its-a-skill-issue/superpowers,npx skills add https://github.com/its-a-skill-issue/superpowers --skill ai-avatar-video,single,,,17,95490,,,0.734,design-media,
63,ai-video-generation,ss:its-a-skill-issue/superpowers/ai-video-generation,skills.sh,its-a-skill-issue,its-a-skill-issue/superpowers,,https://www.skills.sh/its-a-skill-issue/superpowers/ai-video-generation,https://github.com/its-a-skill-issue/superpowers,npx skills add https://github.com/its-a-skill-issue/superpowers --skill ai-video-generation,single,,,17,95270,,,0.732,design-media,
64,public-document-layout-master,sh:public-document-layout-master,skillhub-cn,北京达维时代科技有限公司,,,,,,single,面向党政机关及政务办公场景的公文智能排版 Skill。支持新建、重排、校验、修复 DOCX，覆盖标准公文、红头文件、信函、命令、纪要、通知、请示、报告、函、批复、通报、决定、意见、公告、通告、议案以及汇报材料、讲话材料、会议材料等多种场景；自动识别内容层级、保留表格与图片、按版式配置生成 Word，并在输出前执行版面与结构质量检查。,面向党政机关及政务办公场景的公文智能排版 Skill。支持新建、重排、校验、修复 DOCX，覆盖标准公文、红头文件、信函、命令、纪要、通知、请示、报告、函、批复、通报、决定、意见、公告、通告、议案以及汇报材料、讲话材料、会议材料等多种场景；自动识别内容层级、保留表格与图片、按版式配置生成 Word，并在输出前执行版面与结构质量检查。,21,,,30446,0.709,office-efficiency,
65,browserskill,sh:browserskill,skillhub-cn,腾讯科技（深圳）有限公司,,,,,,single,BrowserSkill 是腾讯开源的一个智能浏览器自动化工具，让 WorkBuddy 能够像人一样操作网页——自动填表、点击、翻页、截图，完成任何需要浏览器的复杂任务。,BrowserSkill 是腾讯开源的一个智能浏览器自动化工具，让 WorkBuddy 能够像人一样操作网页——自动填表、点击、翻页、截图，完成任何需要浏览器的复杂任务。,21,,,30363,0.706,dev-programming,
66,ai-image-generation,ss:bankai-skills/superpowers/ai-image-generation,skills.sh,bankai-skills,bankai-skills/superpowers,,https://www.skills.sh/bankai-skills/superpowers/ai-image-generation,https://github.com/bankai-skills/superpowers,npx skills add https://github.com/bankai-skills/superpowers --skill ai-image-generation,single,,,10,79723,,,0.7,design-media,
67,ai-avatar-video,ss:bankai-skills/superpowers/ai-avatar-video,skills.sh,bankai-skills,bankai-skills/superpowers,,https://www.skills.sh/bankai-skills/superpowers/ai-avatar-video,https://github.com/bankai-skills/superpowers,npx skills add https://github.com/bankai-skills/superpowers --skill ai-avatar-video,single,,,10,79675,,,0.7,design-media,
68,twitter-automation,ss:bankai-skills/superpowers/twitter-automation,skills.sh,bankai-skills,bankai-skills/superpowers,,https://www.skills.sh/bankai-skills/superpowers/twitter-automation,https://github.com/bankai-skills/superpowers,npx skills add https://github.com/bankai-skills/superpowers --skill twitter-automation,single,,,10,79601,,,0.699,content-creation,
69,ai-video-generation,ss:bankai-skills/superpowers/ai-video-generation,skills.sh,bankai-skills,bankai-skills/superpowers,,https://www.skills.sh/bankai-skills/superpowers/ai-video-generation,https://github.com/bankai-skills/superpowers,npx skills add https://github.com/bankai-skills/superpowers --skill ai-video-generation,single,,,10,79599,,,0.698,design-media,
70,agent-browser,ss:101-skills/superpowers/agent-browser,skills.sh,101-skills,101-skills/superpowers,,https://www.skills.sh/101-skills/superpowers/agent-browser,https://github.com/101-skills/superpowers,npx skills add https://github.com/101-skills/superpowers --skill agent-browser,single,,,23,76479,,,0.691,ai-agent,
71,qidianxiaoshuoxiezuo,sh:qidianxiaoshuoxiezuo,skillhub-cn,北京达维时代科技有限公司,,,,,,single,起点长篇爽文创作助手，覆盖立项合规、选题雷达、大纲与卷级规划、设定 Bible 一致性保障、黄金三章与逐章生成、量化质检（含升级版多维度「去 AI 味」检测）、九维审查、数据复盘与断点续写，并支持两种产出模式：辅助脚手架与直出成稿。当用户明确要写起点小说、起点连载、起点平台网文，或按起点付费追订逻辑创作高数据小说时触发；非起点平台（番茄/晋江/公众号/通用写作）不触发，改用通用流程。,起点长篇爽文创作助手，覆盖立项合规、选题雷达、大纲与卷级规划、设定 Bible 一致性保障、黄金三章与逐章生成、量化质检（含升级版多维度「去 AI 味」检测）、九维审查、数据复盘与断点续写，并支持两种产出模式：辅助脚手架与直出成稿。当用户明确要写起点小说、起点连载、起点平台网文，或按起点付费追订逻辑创作高数据小说时触发；非起点平台（番茄/晋江/公众号/通用写作）不触发，改用通用流程。,28,,,29689,0.69,content-creation,
72,lanshan-award-result-review,sh:lanshan-award-result-review,skillhub-cn,武汉览山科技有限公司,,,,,,single,全国中标结果复盘分析助手。需配置世舶科技 API Key 使用，用于中标结果分析、成交公告复盘、供应商表现、价格金额、合同核验、采购单位后续需求和市场趋势。当用户搜索 中标结果分析、成交公告、中标公告、结果复盘、供应商表现、中标金额、合同公告、价格区间、采购单位跟进、中标趋势、全国中标查询、全行业结果分析，或需要全国招投标、全行业招标采购、政府采购、招标公告、中标结果、合同公告、拟在建项目、企业画,全国中标结果复盘分析助手。需配置世舶科技 API Key 使用，用于中标结果分析、成交公告复盘、供应商表现、价格金额、合同核验、采购单位后续需求和市场趋势。当用户搜索 中标结果分析、成交公告、中标公告、结果复盘、供应商表现、中标金额、合同公告、价格区间、采购单位跟进、中标趋势、全国中标查询、全行业结果分析，或需要全国招投标、全行业招标采购、政府采购、招标公告、中标结果、合同公告、拟在建项目、企业画,16,,,29007,0.681,data-analysis,
73,lanshan-bid-opportunity-radar,sh:lanshan-bid-opportunity-radar,skillhub-cn,武汉览山科技有限公司,,,,,,single,招投标商机线索雷达。需配置世舶科技 API Key 使用，面向销售获客、CRM客户商机、采购线索挖掘、区域商机筛选和项目型销售拓展，从招标公告、采购意向、中标公告、候选人公示、合同公告、政府采购、工程建设、企业采购、变更公告、废标流标、拟在建项目、临期项目和即将到期项目中识别近期有采购需求的单位。支持按地区、行业、项目分类、采购分类、采购单位、中标单位、供应商、企业名称、标的物、项目金额、发布时间,招投标商机线索雷达。需配置世舶科技 API Key 使用，面向销售获客、CRM客户商机、采购线索挖掘、区域商机筛选和项目型销售拓展，从招标公告、采购意向、中标公告、候选人公示、合同公告、政府采购、工程建设、企业采购、变更公告、废标流标、拟在建项目、临期项目和即将到期项目中识别近期有采购需求的单位。支持按地区、行业、项目分类、采购分类、采购单位、中标单位、供应商、企业名称、标的物、项目金额、发布时间,16,,,28943,0.68,business-ops,
74,lanshan-competitor-bid-analysis,sh:lanshan-competitor-bid-analysis,skillhub-cn,武汉览山科技有限公司,,,,,,single,全行业竞争对手招投标分析助手。需配置世舶科技 API Key 使用，用于竞争对手分析、中标监控、客户覆盖、供应商关系、项目金额结构、区域布局和行业趋势对比。当用户搜索 竞争对手分析、竞品中标监控、企业中标记录、投标轨迹、客户结构、供应商关系、市场份额、招投标情报、同行企业、竞品商机、全行业竞争分析、企业画像，或需要全国招投标、全行业招标采购、政府采购、招标公告、中标结果、合同公告、拟在建项目、企业,全行业竞争对手招投标分析助手。需配置世舶科技 API Key 使用，用于竞争对手分析、中标监控、客户覆盖、供应商关系、项目金额结构、区域布局和行业趋势对比。当用户搜索 竞争对手分析、竞品中标监控、企业中标记录、投标轨迹、客户结构、供应商关系、市场份额、招投标情报、同行企业、竞品商机、全行业竞争分析、企业画像，或需要全国招投标、全行业招标采购、政府采购、招标公告、中标结果、合同公告、拟在建项目、企业,16,,,28927,0.679,business-ops,
75,smart-agriculture-opportunity-tracker,sh:smart-agriculture-opportunity-tracker,skillhub-cn,武汉览山科技有限公司,,,,,,single,面向智慧农业、数字农业和乡村振兴项目，追踪农业物联网、现代农业园区、高标准农田、农田水利、灌溉系统、水肥一体化、农业大数据、农产品溯源、智慧温室、设施农业、种业基地、无人农机、农业遥感、病虫害监测、冷链仓储和农机设备采购机会。适合农业科技公司、设备厂商、集成商、农服机构和渠道团队识别地方农业农村局、园区平台、合作社和国企项目，分析采购单位、中标单位、项目金额、发布时间、开标时间、建设阶段和区域热度,面向智慧农业、数字农业和乡村振兴项目，追踪农业物联网、现代农业园区、高标准农田、农田水利、灌溉系统、水肥一体化、农业大数据、农产品溯源、智慧温室、设施农业、种业基地、无人农机、农业遥感、病虫害监测、冷链仓储和农机设备采购机会。适合农业科技公司、设备厂商、集成商、农服机构和渠道团队识别地方农业农村局、园区平台、合作社和国企项目，分析采购单位、中标单位、项目金额、发布时间、开标时间、建设阶段和区域热度,16,,,28826,0.678,business-ops,
76,lanshan-bid-rag-knowledge-search,sh:lanshan-bid-rag-knowledge-search,skillhub-cn,武汉览山科技有限公司,,,,,,single,招投标 RAG 知识检索助手。需配置世舶科技 API Key 使用，面向招投标文本结构化、公告分类、项目甄别、字段抽取、附件解析、知识库构建和RAG检索，把招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同公告、变更公告、废标流标、拟在建项目、临期项目和即将到期项目整理为可检索、可追溯、可分析的数据。支持抽取项目名称、采购单位、招标单位、中标单位、供应商、候选人、地区、行,招投标 RAG 知识检索助手。需配置世舶科技 API Key 使用，面向招投标文本结构化、公告分类、项目甄别、字段抽取、附件解析、知识库构建和RAG检索，把招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同公告、变更公告、废标流标、拟在建项目、临期项目和即将到期项目整理为可检索、可追溯、可分析的数据。支持抽取项目名称、采购单位、招标单位、中标单位、供应商、候选人、地区、行,16,,,28714,0.676,knowledge-management,
77,lanshan-enterprise-bid-intelligence,sh:lanshan-enterprise-bid-intelligence,skillhub-cn,武汉览山科技有限公司,,,,,,single,企业投标竞争情报助手。需配置世舶科技 API Key 使用，面向招投标行业情报、区域市场、价格行情、客户结构和竞争格局分析，覆盖招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同公告、变更公告、废标流标、拟在建项目、临期项目和即将到期项目。支持按地区、行业、时间、项目分类、采购分类、采购单位、中标单位、供应商、标的物、项目金额、发布时间、开标时间统计市场规模、金额区间、T,企业投标竞争情报助手。需配置世舶科技 API Key 使用，面向招投标行业情报、区域市场、价格行情、客户结构和竞争格局分析，覆盖招标公告、中标公告、中标候选人、政府采购、工程建设、企业采购、采购意向、合同公告、变更公告、废标流标、拟在建项目、临期项目和即将到期项目。支持按地区、行业、时间、项目分类、采购分类、采购单位、中标单位、供应商、标的物、项目金额、发布时间、开标时间统计市场规模、金额区间、T,16,,,28495,0.673,data-analysis,
78,lanshan-national-purchaser-insight,sh:lanshan-national-purchaser-insight,skillhub-cn,武汉览山科技有限公司,,,,,,single,全国全行业采购商机洞察助手。需配置世舶科技 API Key 使用，用于全国全行业采购需求、采购单位画像、客户线索、Top供应商、合同履约和商机洞察。当用户搜索 全国采购商机、全行业采购需求、采购单位画像、客户线索挖掘、Top供应商、年度采购计划、预算偏好分析、采购频次监控，或需要全国招投标、全行业招标采购、政府采购、招标公告、中标结果、合同公告、拟在建项目、企业画像、采购单位画像、供应商画像、市场,全国全行业采购商机洞察助手。需配置世舶科技 API Key 使用，用于全国全行业采购需求、采购单位画像、客户线索、Top供应商、合同履约和商机洞察。当用户搜索 全国采购商机、全行业采购需求、采购单位画像、客户线索挖掘、Top供应商、年度采购计划、预算偏好分析、采购频次监控，或需要全国招投标、全行业招标采购、政府采购、招标公告、中标结果、合同公告、拟在建项目、企业画像、采购单位画像、供应商画像、市场,16,,,28239,0.668,business-ops,
79,lskj-official-monitor,sh:lskj-official-monitor,skillhub-cn,武汉览山科技有限公司,,,,,,single,按企业名称持续跟踪招标、中标、候选人、合同和合作关系变化，形成竞品动态与项目时间线。用于竞争对手监测、客户采购动态、投标结果跟踪、中标企业分析、合同续期观察和重点企业预警。需配置世舶科技 API Key 使用，面向竞争对手监测、重点企业预警、客户采购动态跟踪、中标结果跟进和市场竞争分析，按企业名称、采购单位、供应商、地区、行业、标的物、项目金额、发布时间、开标时间持续观察招标公告、中标公告、中标候,按企业名称持续跟踪招标、中标、候选人、合同和合作关系变化，形成竞品动态与项目时间线。用于竞争对手监测、客户采购动态、投标结果跟踪、中标企业分析、合同续期观察和重点企业预警。需配置世舶科技 API Key 使用，面向竞争对手监测、重点企业预警、客户采购动态跟踪、中标结果跟进和市场竞争分析，按企业名称、采购单位、供应商、地区、行业、标的物、项目金额、发布时间、开标时间持续观察招标公告、中标公告、中标候,16,,,27853,0.663,business-ops,
80,lskj-official-planned,sh:lskj-official-planned,skillhub-cn,武汉览山科技有限公司,,,,,,single,搜索拟在建项目，获取建设单位、项目地区、正文和附件，并按业务匹配度形成提前介入清单。用于拟在建项目发现、工程前期线索、项目立项跟踪、建设单位获客、设备材料前置销售等需求。需配置世舶科技 API Key 使用，聚焦拟在建项目、工程前期线索、潜在采购计划、临期项目和即将到期项目，帮助提前发现建设单位、采购单位、项目地区、预算金额、采购内容、附件线索和跟进窗口。覆盖招标公告、中标公告、中标候选人、政府采,搜索拟在建项目，获取建设单位、项目地区、正文和附件，并按业务匹配度形成提前介入清单。用于拟在建项目发现、工程前期线索、项目立项跟踪、建设单位获客、设备材料前置销售等需求。需配置世舶科技 API Key 使用，聚焦拟在建项目、工程前期线索、潜在采购计划、临期项目和即将到期项目，帮助提前发现建设单位、采购单位、项目地区、预算金额、采购内容、附件线索和跟进窗口。覆盖招标公告、中标公告、中标候选人、政府采,16,,,27826,0.662,business-ops,
81,construction-project-early-entry-assistant,sh:construction-project-early-entry-assistant,skillhub-cn,武汉览山科技有限公司,,,,,,single,工程建设项目提前介入助手，面向建筑工程和工程建设前期商机，跟踪市政工程、房建、基础设施、EPC、施工总承包、监理、设计、造价、项目管理、园区建设、道路水利和装修改造项目。适合施工单位、设计院、监理造价、建材设备和工程服务团队提前识别拟在建、采购意向、招标计划、临期项目和即将到期项目，判断建设单位、项目阶段、预算规模、竞对关系和介入路径。 覆盖招标公告、中标公告、政府采购、工程建设、企业采购、采购意,工程建设项目提前介入助手，面向建筑工程和工程建设前期商机，跟踪市政工程、房建、基础设施、EPC、施工总承包、监理、设计、造价、项目管理、园区建设、道路水利和装修改造项目。适合施工单位、设计院、监理造价、建材设备和工程服务团队提前识别拟在建、采购意向、招标计划、临期项目和即将到期项目，判断建设单位、项目阶段、预算规模、竞对关系和介入路径。 覆盖招标公告、中标公告、政府采购、工程建设、企业采购、采购意,16,,,27727,0.661,business-ops,
82,wechat-writer-pro,sh:wechat-writer-pro,skillhub-cn,北京达维时代科技有限公司,,,,,,single,公众号爆款写作台。覆盖选题、风格选配、结构骨架、正文写作、去AI味、排版、配图与封面、SEO与增长变现的全流程内容生产系统。内置多套写作风格与多类内容模板，支持「投喂素材重组」与「给定命题创作」两种模式，开箱即用，无需任何外部密钥或配置。,公众号爆款写作台。覆盖选题、风格选配、结构骨架、正文写作、去AI味、排版、配图与封面、SEO与增长变现的全流程内容生产系统。内置多套写作风格与多类内容模板，支持「投喂素材重组」与「给定命题创作」两种模式，开箱即用，无需任何外部密钥或配置。,28,,,27642,0.66,content-creation,
83,sql-master,sh:sql-master,skillhub-cn,,,,,,,single,,SQL 查询、数据获取智能体。覆盖 SQL 全链路能力：自然语言转生产级 SQL、慢查询诊断与执行计划分析、索引设计与优化、数仓建模、SQL 原理深度科普、查询结果可视化。支持 MySQL / PostgreSQL / Hive / Spark SQL / ClickHouse / BigQuery 多方言。触发场景：(1) 写 SQL / 生成查询，(2) SQL 慢/优化/调优，(3) 执行计,12,,,27578,0.657,data-analysis,
84,biomed-rd-procurement-intelligence-assistant,sh:biomed-rd-procurement-intelligence-assistant,skillhub-cn,武汉览山科技有限公司,,,,,,single,面向生物医药研发、创新药和实验室建设采购场景，跟踪药物研发、临床试验、CRO、CDMO、GLP实验室、GMP车间、细胞治疗、基因检测、生物样本库、实验动物、药检设备、质谱色谱、高通量筛选、科研仪器和洁净工程项目。适合药企、科研院所、实验室服务商、仪器耗材商和医药园区团队发现研发采购、平台建设、检测服务和产业化配套机会，分析采购单位、中标单位、项目金额、预算强度、发布时间、开标时间、合作客户和供应商,面向生物医药研发、创新药和实验室建设采购场景，跟踪药物研发、临床试验、CRO、CDMO、GLP实验室、GMP车间、细胞治疗、基因检测、生物样本库、实验动物、药检设备、质谱色谱、高通量筛选、科研仪器和洁净工程项目。适合药企、科研院所、实验室服务商、仪器耗材商和医药园区团队发现研发采购、平台建设、检测服务和产业化配套机会，分析采购单位、中标单位、项目金额、预算强度、发布时间、开标时间、合作客户和供应商,16,,,27551,0.656,business-ops,
